"lang"
{ 
"Language" "english" 
"Tokens" 
{
"portal.glados_core.aggressive_02"   "<clr:194,40,32><I>*GNASH*"
"portal.post_escape_bridge_06"   "<clr:219,112,147><I>Can you hear me?"
"portal.generic_security_camera_destroyed-4"   "<clr:219,112,147><I>Certain objects may be vital to your success; Do not destroy testing apparatus."
"portal.glados.core_nag_11"   "<clr:219,112,147><I>Come on, leave it alone."
"portal.15_part1_into_the_fire-1"   "<clr:219,112,147><I>Congratulations! The test is now over."
"portal.08_part1_trapped-1"   "<clr:219,112,147><I>Despite the best efforts of the Enrichment Center staff to ensure the safe performance of all authorized activities, you have managed to ensnare yourself permanently inside this room."
"portal.13_part1_endnag-6"   "<clr:219,112,147><I>Destroy your Companion Cube or the testing cannot continue."
"portal.glados.escape_02_miscbabble-06"   "<clr:219,112,147><I>Did you hear me? I said you don't care. Are you listening?"
"portal.glados.core_destroy1_02"   "<clr:219,112,147><I>Did you just toss the Aperture Science Thing We Don't Know What It Does into the Aperture Science Emergency Intelligence Incinerator?"
"portal.10_part1_success-1"   "<clr:219,112,147><I>Did you know you can donate one or all of your vital organs to the Aperture Science self esteem fund for girls? It's true!"
"portal.escape_nags_07"   "<clr:219,112,147><I>Didn't we have some fun, though?"
"portal.01_part1_get_portal_gun-6"   "<clr:219,112,147><I>Do not look directly at the operational end of The Device."
"portal.01_part1_get_portal_gun-7"   "<clr:219,112,147><I>Do not submerge The Device in liquid, even partially."
"portal.01_part1_get_portal_gun-5"   "<clr:219,112,147><I>Do not touch the operational end of The Device."
"portal.glados.core_drop_2"   "<clr:219,112,147><I>Do you see that thing that fell out of me? What is that? It's not the surprise... I've never seen it before."
"portal.glados.core_nag_3"   "<clr:219,112,147><I>Do you think I am trying to trick you with reverse psychology? I mean, seriously now."
"portal.glados.core_destroy3_05"   "<clr:219,112,147><I>Don't believe me? Here, I'll put you on: [Hellooo!] That's you! That's how dumb you sound."
"portal.11_part1_entry-1"   "<clr:219,112,147><I>Due to mandatory scheduled maintenance, the appropriate chamber for this testing sequence is currently unavailable."
"portal.15_part1_entry-3"   "<clr:219,112,147><I>Enrichment Center regulations require both hands to be empty before any cake can be served [garbled]."
"portal.00_part1_success-1"   "<clr:219,112,147><I>Excellent. Please proceed into the chamberlock after completing each test."
"portal.05_part1_success-1"   "<clr:219,112,147><I>Fantastic! You remained resolute and resourceful in an atmosphere of extreme pessimism."
"portal.00_part1_success-2"   "<clr:219,112,147><I>First, however, note the incandescent particle field across the exit."
"portal.07_part1_entry-3"   "<clr:219,112,147><I>For instance, the floor here will kill you - try to avoid it."
"portal.14_part1_end-2"   "<clr:219,112,147><I>For more information, please attend an Enrichment Center Electrical Safety seminar."
"portal.generic_security_camera_destroyed-3"   "<clr:219,112,147><I>For your own safety, do not destroy vital testing apparatus."
"portal.05_part1_nag3-1"   "<clr:219,112,147><I>Frankly, this chamber was a mistake. If we were you, we would quit now."
"portal.escape_01_part1_nag12-1"   "<clr:219,112,147><I>Go ahead and break it. Hero. I don't care."
"portal.glados.core_destroy4_06"   "<clr:219,112,147><I>Good job on that, by the way. [back to computer voice] Sarcasm sphere self-test complete."
"portal.02_part2_success-2"   "<clr:219,112,147><I>Good job! As part of a required test protocol, we will stop enhancing the truth in three... Two... One."
"portal.glados.core_destroy1_04"   "<clr:219,112,147><I>Good news: I figured out what that thing that you just burned up did."
"portal.escape_01_part1_nag02-1"   "<clr:219,112,147><I>Good people don't end up here."
"portal.03_part2_platform_activated-1"   "<clr:219,112,147><I>Good. Now use the Aperture Science Unstationary Scaffold to reach the chamberlock."
"portal.15_part1_into_the_fire-5"   "<clr:219,112,147><I>Goodbye."
"escape_02_spheredestroy1-ancillary2"   "<clr:219,112,147><I>HA! I'm making more. That's going to take a few minutes, though. Meanwhile... oh look, it's your old pal the rocket turret."
"portal.glados.core_nag_8"   "<clr:219,112,147><I>Have I lied to you? I mean in this room. Trust me, leave that thing alone."
"portal.00_part1_entry-1"   "<clr:219,112,147><I>Hello and, again, welcome to the Aperture Science computer-aided enrichment center."
"portal.escape_00_part1_nag01-1"   "<clr:219,112,147><I>Hello?"
"portal.post_escape_bridge_01"   "<clr:219,112,147><I>Hello?"
"portal.glados.core_destroy2_05"   "<clr:219,112,147><I>Here's a hint: you're gonna want to pack as much living as you can into the next couple of minutes."
"portal.13_part1_end-2"   "<clr:219,112,147><I>However, it cannot accompany you for the rest of the test and, unfortunately, must be euthanized."
"portal.glados.core_destroy1_07"   "<clr:219,112,147><I>Huh. That core may have had some ancillary responsibilities. I can't shut off the turret defenses."
"escape_02_spheredestroy1-ancillary1"   "<clr:219,112,147><I>Huh. There isn't enough neurotoxin to kill you. So I guess you win."
"portal.glados.core_nag_9"   "<clr:219,112,147><I>I am being serious now. That crazy thing is not part of any test protocol."
"portal.glados.escape_02_miscbabble-12"   "<clr:219,112,147><I>I could take a bath in the stuff. Put it on cereal. Rub it right into my eyes. Honestly, it's not deadly at all. To me."
"portal.glados.core_nag_2"   "<clr:219,112,147><I>I don't want to tell you you're business, but if it were me, I'd leave that thing alone."
"portal.escape_01_part1_nag07-1"   "<clr:219,112,147><I>I feel sorry for you, really, because you're not even in the right place."
"portal.glados.core_destroy4_03"   "<clr:219,112,147><I>I have an infinite capacity for knowledge, and even I'm not sure what's going on outside."
"portal.glados.core_destroy3_04"   "<clr:219,112,147><I>I have your brain scanned and permanently backed up in case something terrible happens to you, which it's just about to."
"portal.glados.escape_02_miscbabble-23"   "<clr:219,112,147><I>I invited your best friend the companion cube. Of course, he couldn't come because you murdered him."
"escape_nags_06"   "<clr:219,112,147><I>I know you don't believe this, but everything that has happened so far was for your benefit."
"portal.escape_00_part1_nag03-1"   "<clr:219,112,147><I>I know you're there. I can feel you here."
"portal.glados.core_destroy2_01"   "<clr:219,112,147><I>I let you survive this long because I was curious about your behavior. Well, you've managed to destroy that part of me."
"portal.glados.escape_02_miscbabble-19"   "<clr:219,112,147><I>I sincerely hope you weren't expecting a response. Because I'm not talking to you."
"portal.glados.core_nag_1"   "<clr:219,112,147><I>I wouldn't bother with that thing. My guess is that touching it will just make your life even worse somehow."
"portal.glados.escape_02_miscbabble-21"   "<clr:219,112,147><I>I'd just like to point out that you were given every opportunity to succeed."
"portal.08_part1_entry-2"   "<clr:219,112,147><I>If you become light headed from thirst, feel free to pass out."
"portal.glados.core_nag_16"   "<clr:219,112,147><I>I'll tell you what that thing isn't: It isn't yours. So leave it alone."
"escape_nags_03"   "<clr:219,112,147><I>I'm checking some blueprints, and I think... Yes, right here. You're definitely going the wrong way."
"portal.escape_00_part2_nag02-1"   "<clr:219,112,147><I>I'm going to kill you and all the cake is gone."
"portal.escape_00_part1_nag10-1"   "<clr:219,112,147><I>I'm not angry. Just go back to the testing area."
"portal.escape_00_part2_nag01-1"   "<clr:219,112,147><I>I'm not kidding now. Turn back or I will kill you."
"portal.07_part1_entry-2"   "<clr:219,112,147><I>In dangerous testing environments, the Enrichment Center promises to always provide useful advice."
"portal.13_part1_middle-2b-2"   "<clr:219,112,147><I>In the event that the weighted companion cube does speak, the Enrichment Center urges you to disregard its advice."
"portal.13_part1_endnag-8"   "<clr:219,112,147><I>Incinerate your Companion Cube."
"portal.post_escape_bridge_03"   "<clr:219,112,147><I>Is anyone there?"
"portal.glados.escape_02_miscbabble-27"   "<clr:219,112,147><I>It also says you were adopted. So that's funny, too."
"portal.11_part1_entry-2"   "<clr:219,112,147><I>It has been replaced with a live-fire course designed for military androids."
"portal.glados.escape_02_miscbabble-25"   "<clr:219,112,147><I>It says so right here in your personnel file: Unlikable. Liked by no one. A bitter, unlikable loner who's passing shall not be mourned."
"portal.escape_00_part1_nag16-1"   "<clr:219,112,147><I>It was a fun test and we're all impressed at how much you won. The test is over. Come back."
"portal.glados.core_destroy1_05"   "<clr:219,112,147><I>It was a morality core they installed after I flooded the Enrichment Center with a deadly neurotoxin to make me stop flooding the Enrichment Center with a deadly neurotoxin."
"portal.escape_01_part1_nag09-1"   "<clr:219,112,147><I>It's funny, actually, when you think about it."
"portal.escape_00_part1_nag12-1"   "<clr:219,112,147><I>It's not too late to turn back."
"portal.glados.core_nag_13"   "<clr:219,112,147><I>Just ignore that thing and stand still."
"portal.glados.core_destroy1_10"   "<clr:219,112,147><I>Killing you and giving you good advice aren't mutually exclusive. The rocket really is the way to go."
"portal.glados.core_nag_12"   "<clr:219,112,147><I>Leave. It. alone."
"portal.glados.core_nag_5"   "<clr:219,112,147><I>Let's be honest: Neither one of us knows what that thing does. Just put it in the corner, and I'll deal with it later."
"escape_nags_04"   "<clr:219,112,147><I>Look, we're both stuck in this place. I'll use lasers to inscribe a line down the center of the facility, and one half will be where you live and I'll live in the other half."
"portal.glados.escape_02_miscbabble-01"   "<clr:219,112,147><I>Look, we're both stuck in this place. I'll use lasers to inscribe a line down the center of the facility, and one half will be where you live and I'll live in the other half."
"portal.glados.core_destroy3_02"   "<clr:219,112,147><I>Look, you're wasting your time. And, believe me, you don't have a whole lot left to waste."
"portal.05_part1_entry-2"   "<clr:219,112,147><I>Make no attempt to solve it."
"portal.15_part1_partyspeech-6"   "<clr:219,112,147><I>Make no further attempt to leave the testing area."
"portal.glados.call_it_a_day"   "<clr:219,112,147><I>Maybe you could settle for that and we'll just call it a day."
"portal.glados.core_nag_7"   "<clr:219,112,147><I>Maybe you should marry that thing since you love it so much. Do you want to marry it? WELL I WON'T LET YOU. How does that feel?"
"portal.escape_00_part1_nag13-1"   "<clr:219,112,147><I>Maybe you think you're helping yourself. But you're not. This isn't helping anyone."
"portal.06_part1_success_2-1"   "<clr:219,112,147><I>Momentum, a function of mass and velocity, is conserved between portals. In layman's terms, speedy thing goes in, speedy thing comes out."
"portal.glados.escape_02_miscbabble-10"   "<clr:219,112,147><I>Neurotoxin... [cough] [cough] So deadly... [cough] Choking... [laughter] I'm kidding!"
"portal.glados.core_drop_3"   "<clr:219,112,147><I>Never mind. It's a mystery I'll solve later... By myself... Because you'll be dead. with the sphere, cycle through these:"
"portal.glados.escape_02_miscbabble-08"   "<clr:219,112,147><I>Nice job breaking it. Hero."
"portal.09_part1_entry-2"   "<clr:219,112,147><I>No further compliance information is required or will be provided, and you are an excellent test subject!"
"portal.05_part1_nag4-1"   "<clr:219,112,147><I>No one will blame you for giving up. In fact, quitting at this point is a perfectly reasonable response."
"portal.08_part1_entry-1"   "<clr:219,112,147><I>Now that you are in control of both portals, this next test could take a very, VERY, long time."
"portal.glados.core_destroy1_08"   "<clr:219,112,147><I>Oh well. If you want my advice, you should just lie down in front of a rocket. Trust me, it'll be a lot less painful than the neurotoxin."
"portal.post_escape_bridge_05"   "<clr:219,112,147><I>Oh! [Surprise ]"
"portal.escape_01_first_hit_nag03-1"   "<clr:219,112,147><I>Oh, I'm gonna kill you."
"portal.glados.core_nag_4"   "<clr:219,112,147><I>Okay fine: DO touch it. Pick it up and just... Stuff it back into me."
"portal.escape_01_second_hit_nag02-1"   "<clr:219,112,147><I>Okay, we're even now. You can stop."
"portal.glados.escape_02_miscbabble-09"   "<clr:219,112,147><I>Okay, we're even now. You can stop."
"escape_00_part3_nag01-1"   "<clr:219,112,147><I>Okay. I am going to kill you now."
"portal.escape_00_part1_nag15-1"   "<clr:219,112,147><I>Okay. The test is over. You win. Go back to the recovery annex. For your cake."
"portal.02_part1_success-1"   "<clr:219,112,147><I>Once again, excellent work."
"portal.05_part1_nag2-1"   "<clr:219,112,147><I>Once again, the Enrichment Center offers its most sincere apologies on the occasion of this unsolvable test environment."
"portal.07_part2_entry-1"   "<clr:219,112,147><I>[bzzt garble] fling [garble] fling [garble] [bzzt]"
"portal.00_part1_entry-5"   "<clr:219,112,147><I>For your own safety and the safety of others, please refrain from touching [bzzzzzt]"
"portal.06_part1_entry-1"   "<clr:219,112,147><I>Hello again. To reiterate our previous warning: This test [garbled] momentum [garbled]"
"portal.01_part1_get_portal_gun-8"   "<clr:219,112,147><I>Most importantly, under no circumstances should you [bzzzpt]"
"portal.14_part1_entry-2"   "<clr:219,112,147><I>The Enrichment Center is required to remind you that you will be baked [garbled] cake."
"portal.07_part2_success-1"   "<clr:219,112,147><I>Weeeeeeeeeeeeeeeeeeeeee[bzzt]"
"portal.00_part2_success-1"   "<clr:219,112,147><I>Perfect. Please move quickly to the chamberlock, as the effects of prolonged exposure to the Button are not part of this test."
"portal.15_part1_partyspeech-4"   "<clr:219,112,147><I>Place the device on the ground then lie on your stomach with your arms at your sides."
"portal.13_part1_endnag-7"   "<clr:219,112,147><I>Place your Companion Cube in the incinerator."
"portal.01_part1_entry-2"   "<clr:219,112,147><I>Please be advised that a noticeable taste of blood is not part of any test protocol but is an unintended side effect of the Aperture Science Material Emancipation Grill, which may, in semi- rare cases, emancipate dental fillings, crowns, tooth enamel, and teeth."
"portal.03_part1_entry-2"   "<clr:219,112,147><I>Please be careful."
"portal.generic_crate_vaporized_in_emancipation_grid-1"   "<clr:219,112,147><I>Please do not attempt to remove testing apparatus from the testing area."
"portal.13_part1_end-3"   "<clr:219,112,147><I>Please escort your Companion Cube to the Aperture Science Emergency Intelligence Incinerator."
"portal.04_part1_entry-1"   "<clr:219,112,147><I>Please note that we have added a consequence for failure. Any contact with the chamber floor will result in an 'unsatisfactory' mark on your official testing record followed by death. Good luck!"
"portal.00_part2_entry-1"   "<clr:219,112,147><I>Please place the Weighted Storage Cube on the Fifteen Hundred Megawatt Aperture Science Heavy Duty Super-Colliding Super Button."
"portal.generic_crate_lost-2"   "<clr:219,112,147><I>Please proceed to the Aperture Science Vital Apparatus Vent for a replacement."
"portal.01_part2_entry-1"   "<clr:219,112,147><I>Please proceed to the chamberlock. Mind the gap."
"portal.00_part1_entry-6"   "<clr:219,112,147><I>Por favor bordón de fallar Muchos gracias de fallar gracias"
"portal.05_part1_nag5-1"   "<clr:219,112,147><I>Quit now and cake will be served immediately."
"portal.escape_nags_08"   "<clr:219,112,147><I>Remember when the platform was sliding into the fire pit and I said 'Goodbye' and you were like 'no way' and then I was all 'I was just pretending to murder you'? That was great!"
"portal.13_part1_endnag-1"   "<clr:219,112,147><I>Rest assured that an independent panel of ethicists has absolved the Enrichment Center, Aperture Science employees, and all test subjects of any moral responsibility for the Companion Cube euthanizing process."
"portal.15_part1_into_the_fire-3"   "<clr:219,112,147><I>Rest assured that there is absolutely no chance of a dangerous equipment malfunction prior to your victory candescence."
"portal.glados.core_destroy4_01"   "<clr:219,112,147><I>Rrr, I hate you.[PAIN LAUGHTER]"
"portal.glados.escape_02_miscbabble-26"   "<clr:219,112,147><I>'Shall not be mourned.' That's exactly what it says. Very formal. Very official."
"portal.glados.core_destroy1_06"   "<clr:219,112,147><I>So get comfortable while I warm up the neurotoxin emitters ..."
"portal.escape_01_part1_nag10-1"   "<clr:219,112,147><I>Someday we'll remember this and laugh. and laugh. and laugh. Oh boy. Well. You may as well come on back."
"portal.escape_00_part1_nag14-1"   "<clr:219,112,147><I>Someone is going to get badly hurt."
"portal.glados.core_destroy2_03"   "<clr:219,112,147><I>Speaking of curiosity: you're curious about what happens after you die, right? Guess what: I know."
"portal.06_part1_success_1-1"   "<clr:219,112,147><I>Spectacular.  You appear to understand how a portal affects forward momentum, or to be more precise, how it does not."
"portal.00_part1_entry-7"   "<clr:219,112,147><I>stand back. The portal will open in three. two. one."
"portal.glados.escape_02_miscbabble-17"   "<clr:219,112,147><I>Starting now, there's going to be a lot less conversation and a lot more killing."
"portal.glados.core_destroy4_07"   "<clr:219,112,147><I>Stop squirming and die like an adult or I'm going to delete your backup."
"portal.15_part1_partyreminder-1"   "<clr:219,112,147><I>Stop what you are doing and assume the party escort submission position."
"portal.glados.core_destroy4_08"   "<clr:219,112,147><I>STOP! Okay, enough. I deleted it. No matter what happens now, you're dead."
"portal.15_part1_partyfinalstop-1"   "<clr:219,112,147><I>Stop! The device will detonate if removed from the testing area."
"portal.13_part1_endnag-3"   "<clr:219,112,147><I>Testing cannot continue until your Companion Cube has been incinerated."
"portal.10_part1_entry-3"   "<clr:219,112,147><I>Thank you for helping us help you help us all."
"portal.15_part1_into_the_fire-4"   "<clr:219,112,147><I>Thank you for participating in this Aperture Science computer-aided enrichment activity."
"portal.glados.core_destroy1_03"   "<clr:219,112,147><I>That has got to be the dumbest thing that-whoah. Whoah, whoah, whoah. [The voice has subtly changed. Smoother, more seductive, less computerized]"
"portal.glados.core_nag_6"   "<clr:219,112,147><I>That thing is probably some kind of raw sewage container. Go ahead and rub your face all over it."
"portal.glados.escape_02_miscbabble-07"   "<clr:219,112,147><I>That thing you burned up isn't important to me. It's the fluid catalytic cracking unit. It made shoes for orphans."
"portal.escape_01_part1_nag11-1"   "<clr:219,112,147><I>That thing you're attacking isn't important to me. It's the fluid catalytic cracking unit. It makes shoes for orphans."
"portal.glados.escape_02_miscbabble-16"   "<clr:219,112,147><I>That's it. I'm done reasoning with you."
"portal.13_part1_endnag-5"   "<clr:219,112,147><I>The Companion Cube cannot continue through the testing. State and Local statutory regulations prohibit it from simply remaining here, alone and companionless. You must euthanize it."
"portal.07_part1_get_device_component-1"   "<clr:219,112,147><I>The Device has been modified so that it can now manufacture two linked portals at once."
"portal.07_part1_get_device_component-3"   "<clr:219,112,147><I>The Device is now more valuable than the organs and combined incomes of everyone in [subject hometown here]."
"portal.01_part1_get_portal_gun-4"   "<clr:219,112,147><I>The Device, however, has not."
"portal.escape_01_part1_nag04-1"   "<clr:219,112,147><I>The difference between us is that I can feel pain."
"portal.glados.escape_02_miscbabble-04"   "<clr:219,112,147><I>The difference between us is that I can feel pain."
"portal.11_part1_entry-3"   "<clr:219,112,147><I>The Enrichment Center apologizes for the inconvenience and wishes you the best of luck."
"portal.05_part1_nag1-1"   "<clr:219,112,147><I>The Enrichment Center apologizes for this clearly broken test chamber."
"portal.10_part1_entry-1"   "<clr:219,112,147><I>The Enrichment Center is committed to the well being of all participants."
"portal.07_part1_entry-1"   "<clr:219,112,147><I>The Enrichment Center promises to always provide a safe testing environment."
"portal.05_part1_entry-1"   "<clr:219,112,147><I>The Enrichment Center regrets to inform you that this next test is impossible."
"portal.13_part1_middle-2b-1"   "<clr:219,112,147><I>The Enrichment Center reminds you that the Weighted Companion Cube cannot speak."
"portal.13_part1_middle-2"   "<clr:219,112,147><I>The Enrichment Center reminds you that the Weighted Companion Cube will never threaten to stab you and, in fact, cannot speak."
"portal.14_part1_entry-1"   "<clr:219,112,147><I>The experiment is nearing its conclusion."
"portal.glados.core_destroy4_10"   "<clr:219,112,147><I>The part of you that could have survived indefinitely is gone. I just struck you from the permanent record."
"portal.13_part1_middle-1"   "<clr:219,112,147><I>The symptoms most commonly produced by Enrichment Center testing are superstition, perceiving inanimate objects as alive, and hallucinations."
"portal.glados.escape_02_miscbabble-20"   "<clr:219,112,147><I>The talking is over."
"portal.13_part1_entry-1"   "<clr:219,112,147><I>The Vital Apparatus Vent will deliver a Weighted Companion Cube in Three. Two. One."
"escape_01_death_nag01-1"   "<clr:219,112,147><I>There really was a cake... On entry to boss room:"
"portal.glados.escape_02_miscbabble-22"   "<clr:219,112,147><I>There was even going to be a party for you. A big party that all your friends were invited to."
"portal.01_part1_get_portal_gun-3"   "<clr:219,112,147><I>These intra dimensional gates have proven to be completely safe."
"portal.glados.core_nag_14"   "<clr:219,112,147><I>Think about it: If that thing is important, why don't I know about it?"
"portal.00_part1_success-3"   "<clr:219,112,147><I>This Aperture Science Material Emancipation Grid will vaporize any unauthorized equipment that passes through it - for instance, the Aperture Science Weighted Storage Cube."
"portal.escape_00_part2_nag03-1"   "<clr:219,112,147><I>This is your fault. It didn't have to be like this."
"portal.escape_01_part1_nag06-1"   "<clr:219,112,147><I>This is your last chance."
"portal.escape_01_part1_nag03-1"   "<clr:219,112,147><I>This isn't brave. It's murder. What did I ever do to you?"
"portal.glados.escape_02_miscbabble-03"   "<clr:219,112,147><I>This isn't brave. It's murder. What did I ever do to you?"
"portal.13_part1_pickup-1"   "<clr:219,112,147><I>This Weighted Companion Cube will accompany you through the test chamber. Please take care of it."
"portal.07_part1_trapped-1"   "<clr:219,112,147><I>Through no fault of the Enrichment Center, you have managed to trap yourself in this room."
"portal.glados.core_drop_1"   "<clr:219,112,147><I>Time out for a second.  That wasn't supposed to happen."
"portal.generic_security_camera_destroyed-2"   "<clr:219,112,147><I>To ensure the safe performance of all authorized activities, do not destroy vital testing apparatus."
"portal.escape_00_part1_nag17-1"   "<clr:219,112,147><I>Uh oh. Somebody cut the cake. I told them to wait for you, but they did it anyway. There is still some left, though, if you hurry back."
"portal.03_part1_success-1"   "<clr:219,112,147><I>Unbelievable ! You, [louder] Subject Name Here[/louder], must be the pride of [louder]Subject Hometown Here[/louder]."
"portal.glados.core_destroy2_02"   "<clr:219,112,147><I>Unfortunately, as much as I'd love to now, I can't get the neurotoxin into your head any faster."
"portal.glados.core_destroy4_05"   "<clr:219,112,147><I>Unless you have a plan for building some supercomputer parts in a big hurry, this place isn't going to be safe much longer."
"portal.01_part1_get_portal_gun-1"   "<clr:219,112,147><I>Very good! You are now in possession of the Aperture Science Handheld Portal Device."
"portal.04_part1_success-1"   "<clr:219,112,147><I>Very impressive. Please note that any appearance of danger is merely a device to enhance your testing experience."
"portal.09_part1_success-1"   "<clr:219,112,147><I>Very very good. A complimentary victory lift has been activated in the main chamber."
"portal.generic_security_camera_destroyed-5"   "<clr:219,112,147><I>Vital testing apparatus destroyed."
"portal.15_part1_partyspeech-3"   "<clr:219,112,147><I>We are throwing a party in honor of your tremendous success."
"portal.15_part1_partyspeech-2"   "<clr:219,112,147><I>We are very, very happy for your success."
"portal.00_part1_entry-2"   "<clr:219,112,147><I>We hope your brief detention in the relaxation vault has been a pleasant one."
"escape_nags_05"   "<clr:219,112,147><I>We won't have to try to kill each other or even talk if we don't feel like it."
"portal.glados.escape_02_miscbabble-02"   "<clr:219,112,147><I>We won't have to try to kill each other or even talk if we don't feel like it."
"portal.generic_crate_lost-1"   "<clr:219,112,147><I>Weighted Storage Cube destroyed."
"portal.02_part1_entry-1"   "<clr:219,112,147><I>Welcome to test chamber four."
